,equity,nav
2020-11-30,1609388.6941812823,1.6093886941812823
2020-12-01,1608457.9389100221,1.6084579389100222
2020-12-02,1590057.8748653678,1.5900578748653678
2020-12-03,1569790.044516412,1.5697900445164121
2020-12-04,1546903.0842127304,1.5469030842127305
2020-12-07,1559926.0380557545,1.5599260380557545
2020-12-08,1506083.2866536034,1.5060832866536034
2020-12-09,1521277.6564534733,1.5212776564534733
2020-12-10,1528703.1246118825,1.5287031246118825
2020-12-11,1540178.6643162842,1.5401786643162843
2020-12-14,1531276.994417982,1.531276994417982
2020-12-15,1552093.0968689509,1.5520930968689508
2020-12-16,1542980.1340109964,1.5429801340109965
2020-12-17,1558982.6115165872,1.5589826115165872
2020-12-18,1579152.5765981632,1.5791525765981633
2020-12-21,1611685.8551553611,1.6116858551553612
2020-12-22,1580663.88385553,1.58066388385553
2020-12-23,1636872.6090758843,1.6368726090758843
2020-12-24,1634402.6714852904,1.6344026714852904
2020-12-25,1628103.1389532373,1.6281031389532374
2020-12-28,1640126.3980394735,1.6401263980394734
2020-12-29,1613896.813239515,1.613896813239515
2020-12-30,1664507.6404784368,1.664507640478437
2020-12-31,1675702.997663489,1.6757029976634892
2021-01-04,1681224.8720197494,1.6812248720197494
2021-01-05,1702416.51465528,1.7024165146552799
2021-01-06,1739291.2459231468,1.7392912459231469
2021-01-07,1748927.8662192356,1.7489278662192356
2021-01-08,1758781.0513165395,1.7587810513165396
2021-01-11,1762298.3974393029,1.762298397439303
2021-01-12,1800246.7341133312,1.8002467341133312
2021-01-13,1833633.880993059,1.833633880993059
2021-01-14,1808384.9147198775,1.8083849147198776
2021-01-15,1817854.899903462,1.817854899903462
2021-01-18,1835989.9958725825,1.8359899958725825
2021-01-19,1820060.719096187,1.820060719096187
2021-01-20,1796771.6807951434,1.7967716807951433
2021-01-21,1790762.2579720302,1.7907622579720301
2021-01-22,1756666.1694854724,1.7566661694854724
2021-01-25,1768622.7388279764,1.7686227388279765
2021-01-26,1756503.2569604274,1.7565032569604273
2021-01-27,1751861.2405862992,1.7518612405862992
2021-01-28,1718591.8105760335,1.7185918105760336
2021-01-29,1717944.7510307727,1.7179447510307726
2021-02-01,1682658.5370213145,1.6826585370213145
2021-02-02,1671068.6495180104,1.6710686495180105
2021-02-03,1666929.096208646,1.666929096208646
2021-02-04,1705077.9253840868,1.7050779253840869
2021-02-05,1712833.8981688796,1.7128338981688795
2021-02-08,1739762.8188646326,1.7397628188646326
2021-02-09,1804915.1120185817,1.8049151120185818
2021-02-10,1789639.3070115307,1.7896393070115306
2021-02-18,1831161.9929874912,1.8311619929874912
2021-02-19,1896877.0497687466,1.8968770497687466
2021-02-22,1892450.3208651133,1.8924503208651133
2021-02-23,1927884.2260461207,1.9278842260461206
2021-02-24,1950268.1172595534,1.9502681172595533
2021-02-25,1960187.4922251888,1.9601874922251887
2021-02-26,1914280.418358693,1.914280418358693
2021-03-01,1959646.0935558863,1.9596460935558864
2021-03-02,1967068.12811008,1.9670681281100801
2021-03-03,1995989.3816676615,1.9959893816676615
2021-03-04,1974453.2692134231,1.9744532692134231
2021-03-05,1952181.2178928212,1.9521812178928213
2021-03-08,1930681.0455968322,1.9306810455968322
2021-03-09,1994725.9154473785,1.9947259154473784
2021-03-10,2017828.5185477284,2.0178285185477285
2021-03-11,2043218.8458093773,2.043218845809377
2021-03-12,1986247.7652394408,1.9862477652394408
2021-03-15,1948429.3784912268,1.9484293784912268
2021-03-16,2014226.7796963959,2.0142267796963957
2021-03-17,1954059.8719884008,1.9540598719884008
2021-03-18,1940750.1855646663,1.9407501855646663
2021-03-19,1964095.6937885783,1.9640956937885783
2021-03-22,1997221.330353485,1.997221330353485
2021-03-23,1950659.0454390675,1.9506590454390675
2021-03-24,1934580.88439754,1.93458088439754
2021-03-25,1955666.5053069838,1.955666505306984
2021-03-26,1978393.9383955596,1.9783939383955595
2021-03-29,2023705.5679434137,2.0237055679434137
2021-03-30,2031793.87998602,2.03179387998602
2021-03-31,2018170.8229523422,2.0181708229523423
2021-04-01,2017631.1312995488,2.0176311312995487
2021-04-02,2054040.6001060933,2.0540406001060934
2021-04-06,2061230.2551449072,2.061230255144907
2021-04-07,2009147.4550716684,2.0091474550716684
2021-04-08,2046763.852321035,2.046763852321035
2021-04-09,2046780.2575247763,2.046780257524776
2021-04-12,1991859.7878003735,1.9918597878003734
2021-04-13,2052849.1310284478,2.052849131028448
2021-04-14,2081056.4792275866,2.0810564792275867
2021-04-15,2119073.3330500484,2.1190733330500486
2021-04-16,2121686.581478229,2.1216865814782286
2021-04-19,2120079.451058482,2.1200794510584817
2021-04-20,2163955.1312197214,2.1639551312197214
2021-04-21,2128725.471784339,2.128725471784339
2021-04-22,2116946.050250068,2.1169460502500677
2021-04-23,2101135.419094625,2.101135419094625
2021-04-26,2152611.170804815,2.152611170804815
2021-04-27,2181175.501813739,2.181175501813739
2021-04-28,2190835.9026055248,2.190835902605525
2021-04-29,2198216.2663719133,2.1982162663719134
2021-04-30,2175380.7972020293,2.1753807972020294
2021-05-06,2175109.9586972026,2.1751099586972025
2021-05-07,2206876.1768556237,2.2068761768556238
2021-05-10,2209906.486585944,2.209906486585944
2021-05-11,2132851.56640979,2.13285156640979
2021-05-12,2243349.323475818,2.243349323475818
2021-05-13,2166772.276024369,2.166772276024369
2021-05-14,2111828.4501982084,2.1118284501982085
2021-05-17,2151566.691530848,2.151566691530848
2021-05-18,2211874.277590701,2.211874277590701
2021-05-19,2182669.3469038988,2.1826693469038987
2021-05-20,2171019.8811509763,2.1710198811509764
2021-05-21,2164128.3930130773,2.1641283930130775
2021-05-24,2158052.384729893,2.158052384729893
2021-05-25,2167481.8059997414,2.1674818059997416
2021-05-26,2158016.946746773,2.158016946746773
2021-05-27,2202125.4364196234,2.2021254364196237
2021-05-28,2165413.9762834487,2.165413976283449
2021-05-31,2165954.623169629,2.165954623169629
2021-06-01,2144640.225364763,2.1446402253647627
2021-06-02,2133841.107112826,2.133841107112826
2021-06-03,2125389.8314533476,2.1253898314533477
2021-06-04,2162403.942051338,2.162403942051338
2021-06-07,2156652.36171521,2.15665236171521
2021-06-08,2136226.3056730265,2.1362263056730266
2021-06-09,2152059.315159679,2.1520593151596787
2021-06-10,2142799.793316743,2.1427997933167426
2021-06-11,2123999.559914844,2.1239995599148442
2021-06-15,2077542.4859748,2.0775424859748
2021-06-16,2062536.9828770207,2.062536982877021
2021-06-17,2068725.0184706233,2.0687250184706234
2021-06-18,2036826.5851121473,2.036826585112147
2021-06-21,2063073.8689881118,2.063073868988112
2021-06-22,2048299.3500004518,2.048299350000452
2021-06-23,2025089.134093257,2.025089134093257
2021-06-24,2018863.0290326097,2.0188630290326097
2021-06-25,2007686.1053611203,2.0076861053611204
2021-06-28,1990158.1810687773,1.9901581810687774
2021-06-29,2016701.946665223,2.016701946665223
2021-06-30,2002819.476304858,2.002819476304858
2021-07-01,1967045.013436626,1.967045013436626
2021-07-02,1965433.439549286,1.9654334395492858
2021-07-05,1979623.1575217557,1.9796231575217558
2021-07-06,2015704.9212692631,2.015704921269263
2021-07-07,1994127.150102452,1.994127150102452
2021-07-08,1984429.4823012047,1.9844294823012048
2021-07-09,1979677.7953324597,1.9796777953324598
2021-07-12,2005696.3724916875,2.0056963724916876
2021-07-13,2042320.4029095436,2.0423204029095436
2021-07-14,2032299.4339889253,2.0322994339889253
2021-07-15,2027378.3129328087,2.0273783129328087
2021-07-16,2026124.183102528,2.026124183102528
2021-07-19,2013883.573500682,2.013883573500682
2021-07-20,1995116.0316509758,1.9951160316509757
2021-07-21,1958590.2682460113,1.9585902682460112
2021-07-22,1974210.5061717515,1.9742105061717514
2021-07-23,2001377.783823854,2.001377783823854
2021-07-26,2036353.840922681,2.036353840922681
2021-07-27,2032630.2695644388,2.032630269564439
2021-07-28,2073929.7059830157,2.0739297059830157
2021-07-29,2103266.859597591,2.1032668595975914
2021-07-30,2141988.3003032943,2.1419883003032942
2021-08-02,2061092.4370425479,2.061092437042548
2021-08-03,2025187.7133086196,2.0251877133086196
2021-08-04,2003126.5468752752,2.0031265468752752
2021-08-05,1994405.6803118375,1.9944056803118375
2021-08-06,1947973.7338592887,1.9479737338592888
2021-08-09,2046878.9665925703,2.0468789665925704
2021-08-10,2062329.2414386887,2.0623292414386887
2021-08-11,2069988.2937441529,2.069988293744153
2021-08-12,2075824.189052846,2.075824189052846
2021-08-13,2076067.9179773084,2.0760679179773085
2021-08-16,2079209.1476470672,2.079209147647067
2021-08-17,2091677.08811738,2.09167708811738
2021-08-18,2098459.805087614,2.098459805087614
2021-08-19,2133121.642003817,2.133121642003817
2021-08-20,2112929.0062362156,2.1129290062362154
2021-08-23,2155755.063518417,2.1557550635184173
2021-08-24,2070039.310976958,2.070039310976958
2021-08-25,2048003.8356450265,2.0480038356450265
2021-08-26,2010887.0601361475,2.0108870601361475
2021-08-27,2000622.813217773,2.000622813217773
2021-08-30,1984482.2837382336,1.9844822837382337
2021-08-31,1959509.2537227173,1.9595092537227172
2021-09-01,1966423.9470062943,1.9664239470062943
2021-09-02,1945184.4898113904,1.9451844898113904
2021-09-03,1943506.0002629852,1.9435060002629851
2021-09-06,1957265.7565936164,1.9572657565936165
2021-09-07,1971834.8459251677,1.9718348459251678
2021-09-08,1935686.220975928,1.935686220975928
