,2019-12-31
600793.SH,0.0013386880856760374
600757.SH,0.0013386880856760374
600760.SH,0.0013386880856760374
600761.SH,0.0013386880856760374
600767.SH,0.0013386880856760374
600782.SH,0.0013386880856760374
600790.SH,0.0013386880856760374
600655.SH,0.0013386880856760374
600656.SH,0.0013386880856760374
600795.SH,0.0013386880856760374
600806.SH,0.0013386880856760374
600808.SH,0.0013386880856760374
600680.SH,0.0013386880856760374
600637.SH,0.0013386880856760374
600638.SH,0.0013386880856760374
600642.SH,0.0013386880856760374
600652.SH,0.0013386880856760374
002727.SZ,0.0013386880856760374
002688.SZ,0.0013386880856760374
002752.SZ,0.0013386880856760374
002753.SZ,0.0013386880856760374
002701.SZ,0.0013386880856760374
002706.SZ,0.0013386880856760374
002586.SZ,0.0013386880856760374
002730.SZ,0.0013386880856760374
002740.SZ,0.0013386880856760374
002602.SZ,0.0013386880856760374
002578.SZ,0.0013386880856760374
600693.SH,0.0013386880856760374
600702.SH,0.0013386880856760374
600657.SH,0.0013386880856760374
600660.SH,0.0013386880856760374
600674.SH,0.0013386880856760374
600675.SH,0.0013386880856760374
600737.SH,0.0013386880856760374
