,nav
2024-05-28,1.5775549647275109
2024-05-29,1.5733996214174346
2024-05-30,1.5650146789876938
2024-05-31,1.5622683063132004
2024-06-03,1.5591181519473853
2024-06-04,1.5625285648909584
2024-06-05,1.5579971658808605
2024-06-06,1.5710720174490538
2024-06-07,1.578551643606377
2024-06-11,1.566915374958643
2024-06-12,1.570360068765323
2024-06-13,1.5756056160298337
2024-06-14,1.574477941797207
2024-06-17,1.5787841933954374
2024-06-18,1.590006751025571
2024-06-19,1.5926508135472424
2024-06-20,1.597249757923792
2024-06-21,1.5855214966238502
2024-06-24,1.5760187926756748
2024-06-25,1.5734938711555004
2024-06-26,1.5767652140738964
2024-06-27,1.5716503728650686
2024-06-28,1.5822775839486836
2024-07-01,1.5778203782582048
2024-07-02,1.5787631025923334
2024-07-03,1.5972433018425334
2024-07-04,1.604956134541282
2024-07-05,1.6083812491849538
2024-07-08,1.6100429816855466
2024-07-09,1.6167270552033475
2024-07-10,1.6139416942033191
2024-07-11,1.623077167822308
2024-07-12,1.5957665705310142
2024-07-15,1.603872760558271
2024-07-16,1.6127505189340527
2024-07-17,1.617877516873493
2024-07-18,1.6096435162981568
2024-07-19,1.5816329314878976
2024-07-22,1.5783504296916353
2024-07-23,1.581266399424833
2024-07-24,1.5841875549322155
2024-07-25,1.5618682673525364
2024-07-26,1.567166385016124
2024-07-29,1.5681018075972393
2024-07-30,1.567814470005258
2024-07-31,1.5688488853363896
2024-08-01,1.5694235605203517
2024-08-02,1.569868933787922
2024-08-05,1.551767802377188
2024-08-06,1.5472107406111784
2024-08-07,1.5502012628055868
2024-08-08,1.5495607663520592
2024-08-09,1.5563795944910788
2024-08-12,1.5538906258496468
2024-08-13,1.5557136721742675
2024-08-14,1.5565682251389334
2024-08-15,1.5555142764825118
2024-08-16,1.5563261017989445
2024-08-19,1.5643355472214115
2024-08-20,1.5639219559410136
2024-08-21,1.5664309486416972
2024-08-22,1.5653656202348987
2024-08-23,1.563676253633065
2024-08-26,1.567168245259234
2024-08-27,1.5671222138880643
2024-08-28,1.5661779581665347
2024-08-29,1.5667588086158653
2024-08-30,1.5657158150497323
2024-09-02,1.5618620241426588
2024-09-03,1.5637511884504918
2024-09-04,1.5584085037806414
2024-09-05,1.563710965449147
2024-09-06,1.5661520291620696
2024-09-09,1.567093913624888
2024-09-10,1.5682100264225611
2024-09-11,1.5688825559288513
2024-09-12,1.568224335560993
2024-09-13,1.5692545935280757
2024-09-18,1.5694554029543184
2024-09-19,1.5676206608720893
2024-09-20,1.577839124334601
2024-09-23,1.5851512690466423
2024-09-24,1.582557910050362
2024-09-25,1.5904364094844965
2024-09-26,1.5905681284013222
2024-09-27,1.5881636512971562
2024-09-30,1.5832446568117875
2024-10-08,1.583011510886547
2024-10-09,1.5725749478196234
2024-10-10,1.5782139791116516
2024-10-11,1.5879761597544888
2024-10-14,1.5969678449687577
2024-10-15,1.5976190586972043
2024-10-16,1.6103726551213549
2024-10-17,1.6146851003964178
2024-10-18,1.6183466206169377
2024-10-21,1.6306445397539193
2024-10-22,1.6303966648718127
2024-10-23,1.6356678267317843
2024-10-24,1.6270532250967256
2024-10-25,1.627022333885151
2024-10-28,1.629892517803647
2024-10-29,1.637553006109862
2024-10-30,1.6487837127246217
2024-10-31,1.643830442196613
2024-11-01,1.6358546114049017
2024-11-04,1.632572554078483
2024-11-05,1.6302777315800516
2024-11-06,1.6495874248228743
